逃,1
運網,1
遲遲,1
還傳,1
部飾演,2
醫療,1
醫院判,1
鋌而,1
陪,1
頒獎,1
頭角,2
體系,1
鬥士金,1
一部,1
主角,1
之,1
之心,3
人生,1
以此,1
億,4
億元,7
先,1
全球,3
口碑,1
台幣,7
大獎,2
好,1
得,1
愛,1
改編,1
時,1
最佳影片,2
此片,2
歲,1
沒有,1
片,5
獎項,1
獨,3
男主角,1
票房,5
約,7
美元,7
自由,4
萬,6
贏得,2
進帳,1
馬,1
修麥,1
俱樂部,4
地心引力,1
康納,1
影帝,1
拿下,1
本屆,1
獎,2
藥命,3
作,2
製,6
拍,4
女配角,1
彼特,1
獲獎,1
前天,1
布萊德,1
PlanB,1
公司,3
布,1
打造,1
投資,1
拍攝,1
立,4
萊,1
這部,1
黑奴,1
昨天,1
部分,1
勇奪,1
幽默,1
精神,3
及,1
滋,1
病,1
觸,1
體系,1
1.4,1
1.5,1
1800,1
2000,1
28.7,1
30,1
3030,1
42,1
42.4,1
5.4,1
500,1
9.2,1
9486,1
FoxSearchlight,1
一度,1
一股,1
不到,1
之心布,1
交給,1
亮眼,1
以獨,1
傳,1
僅,1
典範藥命,1
凱,1
出品,1
出線,1
劇本,1
包,1
包大獎,1
區區,1
叫好,1
叫座,1
史詩片,1
名流,1
后座,1
囊括,1
塢,1
姿,1
將,1
小兵,1
小搏,1
幾乎,1
強大,1
成本,4
技術,1
拱,1
摘下,1
攝,1
攝花費,1
改編劇,1
曾一度,1
最好,1
最貴,1
本獎,1
檢視,1
沒錢,1
漫,1
濃厚,1
瀰,1
熱淚,1
爭氣,1
特,1
獎耗,1
獨立,3
琪,1
男女,2
發行,1
真正,1
眾強,1
福斯,1
立大功,1
籌,1
累積,1
統,1
締造,1
脫穎出,1
花,1
花費僅,1
茉莉,3
藍色,3
蘭,1
角度,1
議,1
讓給,1
資億,1
資金,1
質,1
賺,2
足夠,1
辦,1
連連,1
道謝,1
配角,1
金援,1
項奧斯卡,1
項美國,1
順利,1
頭,1
題,1
顯示,1
餘,1
高達,1
龍,1
不同,1
世界,1
入圍,5
堅強,1
對,1
年,2
年代,1
早,1
約,1
觀眾,1
說,1
贏得,1
影后,5
拿下,1
演員,1
一,2
奧斯卡,1
奧斯卡獎,1
一個,1
女配角,2
有人,1
玩笑,1
直指,1
看到,1
老,1
開,1
難,1
唯一,1
更,1
編劇,1
角色,2
太,1
感謝,2
茉莉,4
藍色,4
17,1
1998,1
2008,1
38,2
不堪,1
並未,1
人性,1
人才,1
伊莉莎白,3
來位,1
依附,1
充滿,1
兒子凱,1
全場,2
公安,1
公關,1
凱特,1
凱特布蘭琪,1
凱特度,1
凱特橫,1
凱特輸,1
分並,1
劇場,2
古人,1
后面,1
啟示,1
坐下,1
女主角,1
女扮,1
女皇,1
封,1
封后,1
布蘭琪,1
年凱特,1
強力,1
強調,1
影劇,1
影壇,1
德魯阿普頓,1
情史,1
想像,1
意外,1
掃,1
搖滾,1
時以,1
最大,1
毫無,1
活在,1
浮現,1
演一個,1
澳洲,3
澳洲人,1
熟齡,1
特布蘭琪,1
特度,1
特竟,1
特蘿,1
狄倫,1
獎輸給,1
獎飾,1
男人,1
男裝凱,1
眼紐,1
眼閉,1
眾望凱,1
結婚,1
給養,1
絲則,1
絲派,1
習慣睜,1
老公,1
老快,1
而葛妮,1
致敬,2
莎翁,1
葛妮,1
被,1
裡落,1
視,1
討喜,1
詮釋,2
貴婦,1
贏在,1
起家,1
起立,2
輝煌,1
造勢,1
遺珠,1
還同,1
錄請,1
隻,2
面向,1
飾演,1
驚艷,1
鮑布,1
黑暗面,1
不少,1
令人,1
女,1
好萊塢,1
搞笑,2
級,1
表示,1
單,1
提供,1
本屆,1
位,1
作,1
做,1
典禮,1
懷疑,1
目,1
節,1
製,1
拍,4
照片,1
網友,1
主持人,1
玩笑,1
珍妮,3
艾倫狄,3
艾倫,2
令,1
公司,1
小布,1
展現,1
明星,1
並將,1
現場,1
台下,1
幫,1
幽默,1
身分,1
同志,1
並未,1
一事,1
三星,2
上推,1
之餘不會,1
互動,1
付錢,1
但,1
再度,1
分享,1
厲害,1
吃,4
善用,1
團自,1
增色,1
大雅,1
媽要,1
孝順傑瑞,1
展出,1
幫媽,1
形式,1
影星,1
得罪人,1
性行,1
所能,1
手機,1
打廣告,1
披薩,2
披薩來,1
披薩梗,1
拿手,1
推,1
揪,1
據,1
放,1
是否,1
曝光,1
